Metric,Value
Total Epochs,5
Best Val Acc Pct,84.6
Best Val Loss,0.4404
Final Train Acc Pct,83.12
Final Val Acc Pct,84.6
Final Train Loss,0.4568
Final Val Loss,0.4477
