Metric,Value
Total Epochs,1
Best Val Acc Pct,50.0
Best Val Loss,1.0377
Final Train Acc Pct,70.62
Final Val Acc Pct,50.0
Final Train Loss,0.6339
Final Val Loss,1.0377
