Epoch,Train Loss,Val Loss,Train Acc (%),Val Acc (%)
1,0.6201,0.5644,67.77,77.0
2,0.553,0.5048,75.75,78.4
3,0.5411,0.4724,76.92,82.2
4,0.494,0.4313,80.08,84.6
5,0.4666,0.4504,82.27,81.4
